,name,speciality,vegan,vegetarian,lat,long
35,La Robe et le Palais,na,0,0,48.8586437,2.3458501
36,Macéo,na,1,1,48.8663903,2.3380844
37,Chez Jenny,french,0,0,48.8660027,2.3646613
38,Le Petit Marché,french,0,0,48.8573191,2.3660431
39,Café des Musées,french,0,0,48.8580708,2.3643313
40,Camille,na,0,0,48.8577587,2.360729
41,Les Enfants Rouges,na,0,0,48.8630297,2.3612527
42,L'Encrier,french,0,0,48.8483622,2.3739893
43,Le Mumtaz,indian,0,0,48.8491606,2.4165683
44,Lémoni Café,na,0,0,48.8648091,2.3411291
45,Rani Mahal,indian,0,0,48.8687993,2.3373273
46,O'Scia,pizza;italian,0,0,48.8648222,2.3475072
47,Café Moderne,french,0,0,48.8689038,2.3422059
48,Le Potager du Marais,na,0,0,48.8609851,2.3544327
49,La Perla,mexican,0,0,48.8557612,2.3561274
50,L'Excuse,na,0,0,48.8533876,2.3620076
51,Les Pinces,seafood,0,0,48.8575825,2.3562566
52,Chez Marianne,falafel,0,0,48.8577181,2.3586116
53,La Cervasse Sainte-Catherine,na,0,0,48.85559,2.362838
54,Le Lutétia Île Saint-Louis,na,0,0,48.8533254,2.3540705
55,Jardin des Pâtes,pasta;italian,0,1,48.8437435,2.3544856
56,La Tour d'Argent,french,0,0,48.84983,2.3549148
57,Ambiance De L'Inde,na,0,0,48.844668,2.3483159
58,Padova,na,0,0,48.840504,2.3347917
59,Desi Road,indian,0,0,48.8556694,2.3399888
60,Les Bouquinistes,na,0,0,48.8555375,2.3409454
61,Cour de Rohan,na,0,0,48.8533939,2.3394107
62,La Bastide Odéon,na,0,0,48.8493501,2.3391528
63,Polidor,french,0,0,48.8497831,2.340165
64,Le Timbre,na,0,0,48.8441458,2.3298957
65,Le Trait D'Union,na,0,0,48.8468341,2.3265156
66,WokBar,na,0,0,48.8442966,2.3310034
67,Qasim,indian,0,0,48.8710439,2.3094204
68,Diep,chinese,0,0,48.8695157,2.3030346
69,Hanoï Cà Phê,vietnamese,0,0,48.8714582,2.3357136
70,Bouillon Chartier,french,0,0,48.8719475,2.3430256
71,Le Café Zéphyr,french,0,0,48.8718728,2.3418493
72,Bouillon Julien,coffee_shop,0,0,48.8705409,2.3532213
73,Mukura,na,0,0,48.8711564,2.3649322
74,Le Royal Est,na,0,0,48.8755414,2.3590741
75,Batifol,french;brasserie;bistrot,0,0,48.8759166,2.358758
76,Clown-Bar,french,0,0,48.8636179,2.367141
77,L'Estaminet,na,0,0,48.866023,2.3794118
78,Biondi,argentine,0,0,48.863829,2.3670497
79,Aux Comptoirs des Indes,indian,0,0,48.8680028,2.3732066
80,Le Troisième Bureau,na,0,0,48.8656744,2.3707975
81,Cannibale Café,regional;french,0,0,48.8683924,2.3793396
82,Avé Maria,na,0,0,48.8644844,2.3730277
83,Suds,na,0,0,48.8533962,2.3787654
84,Le Café des Anges,coffee_shop;french,0,0,48.8554359,2.3744522
85,Le Cyrano,na,0,0,48.8561021,2.3751898
86,Café Ménilmontant,na,0,0,48.8667776,2.3826288
87,Justine,french;pizza,0,0,48.8656637,2.3778893
88,Le Voltaire,brasserie,0,0,48.865181,2.3673647
89,Sinorama,chinese,0,0,48.8263535,2.3601541
90,Phở Banh Cuon 14,vietnamese,0,0,48.8263649,2.3595297
91,Le Temps des Cerises,french,0,0,48.8278771,2.3505246
92,Atelier 58,na,0,0,48.8349997,2.3270026
93,Aquarius,na,1,0,48.8332286,2.315712
94,Les Montagnettes,na,0,0,49.0358499,2.4705852
95,Le Pétel,na,0,0,48.8413291,2.2990993
96,Perlamatta,italian,0,0,48.8408025,2.2883022
97,La Gare Chaussée De La Muette,na,0,0,48.8581109,2.27222
98,La Pétaudière,na,0,0,48.8869322,2.3399586
99,Au Grain de Folie,na,1,0,48.8847049,2.3404648
100,La Cabane,crepe;french,0,0,48.7012425,2.2336397
101,GrandCœur,na,0,0,48.8596461,2.3534386
102,Marcello,na,0,0,48.8523143,2.3350471
103,Café Jacquemart-André,na,0,0,48.8755021,2.3103942
104,Le Clos des Gourmets,french,0,0,48.8600296,2.3006336
105,Au Pied de Fouet,na,0,0,48.8516415,2.3185465
106,Chez Germaine,na,0,0,48.8482525,2.3194882
107,Chez l'Ami Jean,french,0,0,48.8604171,2.305956
108,Le Petit Tibéro,na,0,0,48.8537038,2.323563
109,L'Astrance,na,0,0,48.8584187,2.2875657
110,Yotaro sushi,japanese,0,0,48.8523799,2.4036853
111,Ito,japanese,0,0,48.7320342,2.2713623
112,Le 20e Art,na,0,0,48.8544589,2.4006544
113,Casa Mario,italian,0,0,48.8234946,2.2678173
114,Grill Courtepaille,na,0,0,49.0556468,2.0397467
115,Anamour,na,0,0,49.0185856,2.4691569
116,,na,0,0,48.9212682,2.3650397
117,Le Petit Littré,na,0,0,48.8449916,2.3240393
118,Gildas Delamer,fish,0,0,48.8395987,2.2669254
119,Le Jardin Napolitain,na,0,0,48.7651477,2.1661973
120,Le Robin des Bois,na,0,0,48.765248,2.1650047
121,Au Goût Nature,asian,0,0,48.8192257,2.2595527
122,Le Mont d'Est,french,0,0,48.842922,2.545227
123,,na,0,0,48.8220099,2.2706915
124,La Tarentelle,pizza,0,0,48.8429016,2.544729
125,Sushiwan,japanese,0,0,48.8427118,2.5444679
126,Le Score,na,0,0,48.843529,2.5234775
127,Café du Centre,na,0,0,48.8432669,2.5233397
128,Suraj,indian,0,0,48.8274124,2.3148434
129,L'Ancienne Menuiserie,na,0,0,48.8673444,2.3739608
130,Aux Tables du Père Lachaise,na,0,0,48.863224,2.3875689
131,Le Coude Fou,french,0,0,48.8570811,2.3559832
132,Le Montebello,french,0,0,48.864225,2.1808081
133,Les Météores,na,0,0,48.8401543,2.5494314
134,Le Moulin à Café,na,0,0,48.8334988,2.3198962
135,L'atelier du Wok,chinese,0,0,48.8383128,2.7114089
136,Le Muguet,na,0,0,48.8527753,2.4059315
137,La Vierge de la Réunion,na,0,0,48.8551966,2.4016334
138,Sohna Punjab,indian,0,0,48.8540343,2.4058858
139,Le Grand Café,na,0,0,48.8394337,2.550185
140,Brasserie des Fontaines,na,0,0,48.840628,2.5483331
141,Chez Tran,asian,0,0,48.8408902,2.5483388
142,Océan,turkish,0,0,48.8410024,2.5483431
143,Pizza di Roma,pizza,0,0,48.8411721,2.548333
144,Le Cardinal,na,0,0,48.8373556,2.2574212
145,Les Fontaines,na,0,0,48.8378434,2.2578634
146,Courtepaille,steak_house,0,0,48.876622,2.1161073
147,Le Nemrod,na,0,0,48.8488333,2.3253506
148,La Grille Montorgueil,na,0,0,48.8647212,2.3469127
149,Chez Louis,french,0,0,48.869405,2.3549341
150,Le Plomb du Cantal,french,0,0,48.8693462,2.3552659
151,L’arrosoir,na,0,0,48.8461619,2.378132
152,Gedoub,na,0,0,48.8658103,2.3452891
153,Le Voltaire,french,0,0,48.8591165,2.3302244
154,Kokohana,japanese,0,0,48.8697776,2.3105917
155,La Table du Lancaster,na,0,0,48.8722601,2.3035046
156,Spoon,na,0,0,48.8686679,2.3066263
157,Kui Shin,na,0,0,48.7685894,2.4193859
158,Le 10,na,0,0,48.8671351,2.3657118
159,Léon de Bruxelles,friture,0,0,48.8667808,2.3656961
160,Teppanyaki,japanese,0,0,48.8666678,2.3662969
161,Plein Soleil,na,0,0,48.8655987,2.3744866
162,Saveur République,japanese,0,0,48.8630511,2.3852954
163,Au Méditerranéen,italian;arab,0,0,48.8780516,2.3721905
164,Le Bœuf à Six Pattes,grill,0,0,48.7146822,2.1706202
165,Le Roi du Pot-au-Feu,na,0,0,48.8721672,2.326644
166,Au Banquier,na,0,0,48.8360044,2.3574926
167,Sala Thaï,na,0,0,48.8237611,2.3626525
168,Le Charentonneau,na,0,0,48.8085977,2.4361615
169,Le Jardin aux mille Roses,na,0,0,48.7741666,2.4151995
170,Aux Boules d'Or,na,0,0,48.7744836,2.4154152
171,L'Instant Partagé,french,0,0,49.0304819,2.0215474
172,Carpe Diem,italian,0,0,49.030089,2.0215045
173,Chez Mario,italian,0,0,49.0489235,2.0118444
174,,na,0,0,49.0502151,2.034671
175,L'Étoile du Berger,na,0,0,48.847733,2.3484405
176,Invitez Vous chez Nous,na,0,0,48.8415272,2.3511512
177,La P'tite Louise,na,0,0,48.8718873,2.3570864
178,Chez Gladines,french,0,0,48.8288139,2.3506397
179,Sushi Yakitori,japanese,0,0,49.0305452,2.0210398
180,Pizza Hut,pizza,0,0,49.0326188,2.1031039
181,,na,0,0,49.0323036,2.1031468
182,Pedra Alta,portuguese,0,0,48.7154716,2.3696265
183,Resto des Dames,indian;mexican,0,0,48.8844355,2.3243334
184,Le Réfuge,na,0,0,48.8867718,2.3236539
185,Le Bistral,na,0,0,48.8884368,2.3207195
186,L'Abadache,na,0,0,48.8886141,2.3198123
187,Just BE,na,0,0,48.8879876,2.3341073
188,Nawab,na,0,0,48.894047,2.3341991
189,O Batignolles,na,0,0,48.8886186,2.3167009
190,La Cuisine de Philippe,na,0,0,48.8492934,2.3349249
191,Matsuyama,japanese,0,0,48.841429,2.2990451
192,Le Diplomate,french,0,0,48.7982418,2.4856019
193,Casa Sud,na,0,0,49.0251218,2.1031945
194,,na,0,0,49.0252062,2.1044733
195,Yokohama,na,0,0,49.0504868,2.0093058
196,Shanghai Vauréal,na,0,0,49.0334057,2.0210517
197,Santa Lucia,na,0,0,48.8517156,2.3336409
198,Le Refuge des Fondues,na,0,0,48.8844447,2.3410766
199,Le Lion Indomptable,na,0,0,48.8566933,2.4002542
200,Ristorante Romana,italian,0,0,48.8188804,2.3237167
201,Japon Sakura,japanese,0,0,48.5935686,2.3028433
202,La Criée,seafood,0,0,48.8014416,1.9658572
203,Buffalo Grill,na,0,0,48.8014008,1.9663078
204,Le Terminus,na,0,0,48.8062572,2.4715779
205,,na,0,0,48.7583968,2.4131539
206,Ikra,international,0,0,48.8455384,2.3288228
207,Les Sourires de Dante,na,0,0,48.8300397,2.331099
208,Restaurant Municipal,na,0,0,48.8141974,2.0455581
209,Hippopotamus,steak_house,0,0,48.7732734,1.9942061
210,Au Living Room,french,0,0,48.7766728,2.2294628
211,Ethik à Table,na,0,0,48.8374507,2.3523064
212,Auberge des 3 Canards,na,0,0,49.2362603,2.6446
213,Van An,vietnamese,0,0,48.833417,2.355449
214,Au Chien qui Fume,french,0,0,48.8457103,2.3192202
215,La Harpe,na,0,0,48.8523526,2.3444419
216,Tribeca,na,0,0,48.856812,2.3062305
217,Le Jardin d'Or,chinese,0,0,48.8537402,2.4056302
218,Le Terminus Nation,na,0,0,48.8484568,2.3995601
219,Le Dalou,na,0,0,48.847816,2.3975417
220,La Santé par l'Alimentation,na,0,0,48.8540277,2.3358692
221,Krishna Bhavan,indian,0,0,48.8828817,2.3596543
222,Cellar,na,0,0,48.8641255,2.3676318
223,Aux Bons Amis,na,0,0,48.8742283,2.3755427
224,Le Tournesol,na,0,0,48.8404976,2.3244044
225,Pizza Pino,pizza,0,0,48.7820269,2.2187778
226,La Criée,na,0,0,48.8882137,2.3785003
227,L'Armoise,na,0,0,48.8234377,2.1395632
228,Le Théâtre,french,0,0,48.8491586,2.2872491
229,Grill Courtepaille,steak_house,0,0,48.7837458,2.0607598
230,L'Auberge de la Pomme d'Or,na,0,0,49.0202929,2.5876826
231,L'Escale,na,0,0,49.0207746,2.5901258
232,La Cadole,na,0,0,48.8472243,2.3185062
233,,na,0,0,48.7674237,2.1178074
234,Au Canard Laqué,na,0,0,48.6137775,2.376661
235,Le Grand Mandarin de Montrouge,chinese,0,0,48.8181621,2.3297025
236,Pavillon Colbert,na,0,0,48.8048682,2.1246352
237,L'Usine de Charonne,french,0,0,48.8514886,2.3986829
238,Monterosso,italian,0,0,48.8189255,2.32452
239,Chez Ama,cambodian,0,0,48.8181334,2.3302614
240,Ristorante Del Arte,na,0,0,49.0198418,2.4644659
241,Courtepaille,steak_house,0,0,49.0200812,2.4646826
242,S Restaurant,na,0,0,48.8300837,2.3230365
243,Café Charlot,french,0,0,48.8630061,2.3625592
244,,na,0,0,48.8628927,2.3617428
245,Le Boucl'Art,french,0,0,48.8528282,2.4062488
246,La Belle Époque,french,0,0,48.7363167,2.0913486
247,Le Versailles,na,0,0,48.6605787,2.2419541
248,Les Pipos,french,0,0,48.8474511,2.348343
249,Hanawa,japanese,0,0,48.8672258,2.3079158
250,Welcome Bio Cuisine,regional;french,0,0,48.8568808,2.3729654
251,Brasserie Wepler,french,0,0,48.8838613,2.3277184
252,Le Basilic,french;italian,0,0,48.8861622,2.3341007
253,Le Grenier de Notre-Dame,na,0,0,48.851879,2.348708
254,Le Bon Pêcheur,na,0,0,48.8620045,2.3484135
255,Au Père Tranquille,na,0,0,48.8621883,2.3485126
256,Le Bistrot des Oies,french,0,0,48.8718874,2.367473
257,Le Cabouillet,regional,0,0,49.112601,2.2132811
258,Pizza Pino,pizza,0,0,48.8664224,2.3652804
259,Indiana,na,0,0,48.866346,2.3644859
260,Buffalo Grill,steak_house,0,0,48.8674473,2.3626414
261,Hippopotamus,steak_house,0,0,48.8675361,2.3625257
262,Arlecchino,pizza,0,0,48.8652993,2.3734818
263,La Mère Lachaise,na,0,0,48.8642946,2.386299
264,Le Miyanis,na,0,0,48.8662357,2.3840946
265,Les Marquises,na,0,0,48.86671,2.3812708
266,Kouchi Yaki,japanese,0,0,48.8661416,2.3797926
267,Le Tumeirah,na,0,0,48.8650645,2.3775756
268,Le Fujiwara,japanese,0,0,48.865784,2.3770479
269,Kimono,japanese,0,0,48.8661962,2.3766789
270,Anika,indian,0,0,48.8668697,2.3764314
271,Select Food,na,0,0,48.8177134,2.3731023
272,Okahashi,japanese,0,0,48.8178862,2.3756106
273,Le Cercle du Moulin,chinese,0,0,48.8182874,2.3752474
274,Les Pieds sous la Table,french,0,0,48.8680508,2.3753867
275,Flam's,alsatian;flammkuchen,0,0,48.8598744,2.3476273
276,The Moose,canadian,0,0,48.8518241,2.3377078
277,La Tour Céleste,chinese,0,0,48.8393461,2.2989248
278,Au Petit Clada,couscous,0,0,48.837868,2.3520336
279,La table d'Aligre,french,0,0,48.8491407,2.3785568
280,Les Bombis,New-french,0,0,48.846715,2.3839386
281,La commune libre d'Aligre,libre,0,0,48.8479594,2.3771753
282,Nous 4,french,0,0,48.8468326,2.3790947
283,Les Affranchis,na,0,0,48.8484434,2.3726021
284,U.S. Ateliers,american,0,0,48.8490503,2.3712312
285,Les Garnements,french,0,0,48.8477004,2.3736634
286,Amareto,pizza,1,1,48.8500746,2.3738623
287,The Madison,burger,0,1,48.8447706,2.3779554
288,Le Lys d'or,chinese,0,0,48.8451286,2.3836536
289,Gaspard de la Nuit,na,0,0,48.8541269,2.367425
290,Le Pacha,na,0,0,48.8516706,2.3781819
291,Cinq Fois Plus de Piment,sichuan,0,0,48.8622855,2.3522073
292,L'Orient d'Or,chinese,0,0,48.8739244,2.3454201
293,Happy Nouilles,chinese;Lanzhou,0,0,48.8645313,2.3550653
294,Iris,chinese,0,0,48.8628573,2.352208
295,Pachamanca,peruvian,0,0,48.8613333,2.3538187
296,Season,breakfast,0,0,48.8651196,2.3626307
297,La Cantine du Siam,thai,0,0,48.8489304,2.376284
298,Miyako - 故宫,sushi,0,0,48.8462483,2.3786596
299,Le Petit Bec,french,0,0,48.8453283,2.3813011
300,Les Délices du Colonel,asian,0,0,48.8445906,2.3834045
301,Pizza five,chinese;regional;Sichuan,0,0,48.8477398,2.3888781
302,Thaï Kanda,thai,0,0,48.8476122,2.393034
303,Jodhpur Palace,indian,0,0,48.8420168,2.3896839
304,Le Canon des Gobelins,french,0,0,48.8367142,2.3522749
305,La Tour de Marrakech,na,0,0,48.7489545,2.3038867
306,Osaka Sushi,japanese,0,0,48.8297431,2.3515115
307,Bistrot du Jardin,na,0,0,48.8617033,2.3441258
308,La Nonna,italian,0,0,48.8786085,2.1424774
309,Siseng,asian,0,0,48.8722393,2.3651243
310,,na,0,0,48.8275755,2.353231
311,Novotel Poissy Orgeval,french,0,0,48.9248964,1.9957894
312,Restaurant 1,na,0,0,48.7280428,2.1488303
313,Restaurant 3,na,0,0,48.7238119,2.142494
314,,na,0,0,48.9180836,2.2664696
315,El Gringo,mexican,0,0,48.8451288,2.4341858
316,Le square,na,0,0,48.8758235,2.3834309
317,Le Faitout,na,0,0,48.8748569,2.3825637
318,Roméo,na,0,0,48.8701181,2.2849979
319,,na,0,0,48.8473878,2.3433434
320,Le Jardin de Bambous,chinese,0,0,48.5925623,2.3011153
321,Ty Coz,crepe,0,0,48.7974363,2.1948405
322,Megna,indian,0,0,48.8477867,2.4406732
323,Courte Paille,na,0,0,49.0031411,2.0760275
324,R2C Casino Cafét',na,0,0,48.7127858,2.2593993
325,Le Dragon de Conflans,na,0,0,48.988246,2.0757944
326,Pilou,italian,0,0,48.8249899,2.271758
327,Le Piano d'Issy,french,0,0,48.8248431,2.2723483
328,,chinese,0,0,48.8248279,2.2717121
329,Barock's,na,0,0,48.8251381,2.272171
330,La Gondola,pizza,0,0,48.8239919,2.2735811
331,La Famille,na,0,0,48.8860554,2.3188123
332,Suzette & Sarrasin,crepe,0,0,48.8082116,2.4716483
333,Cinq Cents,french,0,0,48.8079287,2.4713669
334,Viet Siam,asian,0,0,48.8741633,2.3754482
335,Le Patio,italian,0,0,48.827868,2.2755937
336,S'pring,asian,0,0,48.809525,2.471297
337,Lê Mai Vietnam,vietnamese,0,0,48.8361883,2.4001628
338,Makoto,japanese,0,0,48.8361733,2.399255
339,Capri's,na,0,0,48.8355057,2.3978609
340,Piccola Italia,italian,0,0,48.838575,2.3962263
341,Shushi Yaki,japanese,0,0,48.8098618,2.471412
342,Traiteur Saveur d'Asie,chinese,0,0,48.7943931,2.3360287
343,Le Vingtième,na,0,0,48.8644029,2.4080476
344,Le Relais,na,0,0,48.8358707,2.4726312
345,,italian,0,0,48.8468918,2.4706759
346,Balal,indian,0,0,48.846813,2.4715302
347,Hippopotamus,steak_house,0,0,48.9605995,2.5535188
348,Campanile,na,0,0,48.96097,2.5529277
349,Le Swann,french,0,0,48.8361097,2.4056728
350,Little Tokyo,na,0,0,48.9902512,2.0824701
351,Casino,na,0,0,48.9463942,2.0634473
352,Chenhu,chinese,0,0,48.8051926,2.4866775
353,Pataquès,na,0,0,48.8400454,2.380814
354,Sushi Yuki,japanese,0,0,48.8347357,2.3876562
355,Les Spectacles,na,0,0,48.8394999,2.3803553
356,Anco,french,0,0,48.8393205,2.3806346
357,Le Blood,na,0,0,48.8192778,2.3740096
358,Picado,pizza,0,0,48.8158069,2.36784
359,L'Authentique D'Izmir,kebab;grill;turkish;pizza;sandwich,0,0,49.0125927,2.0427165
360,Napoli Pizza,pizza,0,0,49.0119973,2.043063
361,Buffalo Grill,na,0,0,48.8774166,2.1162553
362,La Causerie,na,0,0,48.850799,2.6539912
363,L'Aubergeade,french,0,0,48.8465303,2.3834704
364,Curry villa,indian,0,0,48.8463112,2.3834371
365,Petit Panda,chinese,0,0,48.6162841,2.5040234
366,La Boussole,na,0,0,48.8519093,2.3341886
367,Chez Francis,french,0,0,48.8650517,2.3018704
368,Le Cachiquet,na,0,0,48.8396241,2.4024373
369,Capone Nation,pizza;french,0,0,48.8477852,2.3980971
370,Chez Prosper,na,0,0,48.8485668,2.3983079
371,,na,0,0,48.8284622,2.3428564
372,Sakura,japanese,0,0,48.6300125,2.4936738
373,Hokima,japanese,0,0,48.6310568,2.4930391
374,,chinese,0,0,48.631048,2.4936031
375,Le Café Chineur,na,0,0,48.8319371,2.3141252
376,Pizza Nellie,na,0,0,48.8327575,2.315937
377,Wako,japanese,0,0,48.8330455,2.3162946
378,Shiawase,na,0,0,48.8332491,2.3170528
379,Cobea,na,0,0,48.8362254,2.3224012
380,Chez Farhat,lebanese,0,0,48.8364089,2.3224024
381,Casa Dagusto,columbian,0,0,48.8324709,2.320014
382,L'Imprévu,na,0,0,48.8324557,2.3206876
383,Au Petit Caporal,na,0,0,48.8150987,2.4202526
384,Restaurant japonais Tokyo,na,0,0,48.8150194,2.4193447
385,Bai Thong,thai,0,0,48.8514297,2.3722999
386,Loulou de Bastille,na,0,0,48.8544625,2.382325
387,Le Goyavier,na,0,0,48.8507756,2.3816053
388,La Galette du Moulin,crepe,0,0,48.884085,2.3374869
389,Fatuccio,italian,0,0,48.9028606,2.1578173
390,Chez Prout,na,0,0,48.88675,2.3464439
391,Foujita,sushi;japanese,0,0,48.8663999,2.3328148
392,Casa Naktel,italian,0,0,48.8367172,2.3924117
393,Le Cambodge,asian,0,0,48.8366661,2.3926576
394,Istambul,kebab,0,0,48.8366787,2.3933514
395,Pitch & Putt,regional,0,0,49.0501228,2.1150141
396,Royal Montgallet,asian,0,0,48.8432799,2.3892766
397,Toto Sushi,sushi,0,0,48.8450336,2.3825955
398,thai time,thai,0,0,48.8453967,2.3826032
399,Les Argentiers,na,0,1,48.8470342,2.3868537
400,Kanji,chinese,0,0,48.8469567,2.3869061
401,Sushi bar,sushi,0,0,48.8466891,2.3824558
402,,na,0,0,48.8508333,2.3797344
403,chez Guan,shandong;chinese;regional,0,0,48.8494049,2.3783024
404,La Conivence,traditional;french,0,0,48.8481949,2.3766544
405,sardegna Tavola,sardinian,0,0,48.8482849,2.3767134
406,Le China,chinese,1,1,48.8499216,2.37377
407,Les 2 Saveurs,chinese,0,0,48.8456109,2.3933509
408,Edo Sushi,japanese,1,1,48.8410573,2.3873134
409,Le Pallissy,na,0,0,48.8522635,2.2212878
410,Le Nouveau Village,na,0,0,48.8521441,2.2214495
411,Le BLR,wine;traditional,0,0,48.4790455,2.6947641
412,Chez Ma,chinese,0,0,48.4745363,2.6918032
413,La Vigne Gourmande,na,0,0,49.0681078,2.0538876
414,Restaurant Sptés,pakistani;indian,0,0,48.8906694,2.1942758
415,Chez André,na,0,0,48.8678174,2.3028593
416,I Quattro Mori,italian,0,0,48.8478582,2.3735429
417,Chez Peppe,italian,0,0,48.8483311,2.3741932
418,La Dolce Vita,pizza,0,0,48.8462275,2.3737111
419,Bistrot de la Gare,french,0,0,48.8458407,2.3720988
420,L'Européen,french,0,0,48.8459184,2.3726478
421,Pizzeria Venezia,pizza,0,0,48.8491474,2.3746104
422,Ristorante Pellicano,italian,0,0,48.8471402,2.3725177
423,Le singe à Paris,french,0,0,48.8490161,2.3747617
424,Ginza,japanese,0,0,48.8470772,2.3727405
425,Le Viaduc café,french,0,0,48.8475609,2.375248
426,Karma,asian;tibetan,0,0,48.8469814,2.3726034
427,Le Muratti's,french,0,0,48.8459741,2.3725698
428,Aux Cadrans,french,0,0,48.8459507,2.3730386
429,Fosca',pizza,0,0,48.8458112,2.3718694
430,Brasserie – Pizzeria d’Azur,french;pizza,0,0,48.8464544,2.3718546
431,Au couvert d'asie,asian,0,0,48.8501253,2.3762844
432,Queyrelou,na,0,0,48.8493623,2.3902888
433,Il Far Niente,italian,0,0,48.8489954,2.3908138
434,Paya Thaï Aligre,thai,0,0,48.8497475,2.3788828
435,Restaurant Universitaire,na,0,0,48.8468146,2.3805349
436,Colbeh,persian,0,0,48.8442266,2.3492264
437,Restaurant de l'Étang Fleuri,na,0,0,48.538794,2.3712902
438,Escale à Saïgon,vietnamese,0,0,48.83102,2.3347804
439,Le Bambou,vietnamese,0,0,48.8252128,2.3624715
440,Pho Hoa Pasteur Saigon 新麗都酒家,vietnamese,0,0,48.8251313,2.3623868
441,Palais d'Asie,chinese;vietnamese,0,0,48.8248667,2.3622623
442,Le Balbuzard Café,mediterranean,0,0,48.868785,2.359478
443,L'Été en Pente Douce,na,0,0,48.8862979,2.3451631
444,Le Soleil de la Butte,french,0,0,48.8865096,2.3452428
445,Le Saigon,vietnamese,0,0,48.8490473,2.3745288
446,Entre les Vignes,french,0,0,48.8462167,2.3753959
447,La Valise,na,0,0,48.8460708,2.3770013
448,Mandarin Diderot,chinese,0,0,48.8458391,2.3749747
449,Le Duc de Richelieu,french,0,0,48.8469247,2.3730534
450,Li Yuan,chinese,0,0,48.8472565,2.3708817
451,Le Dix-sept,french,0,0,48.8471819,2.3707631
452,Osaka,japanese,0,0,48.846728,2.3702882
453,Café Barjot,na,0,0,48.8464734,2.3690953
454,Eki,japanese,0,0,48.8456137,2.3701195
455,Le Paris Lyon,na,0,0,48.8453198,2.3707747
456,La Maison du Délice,chinese,0,0,48.8457141,2.3704736
457,Le Kaizen,thai;asian,0,0,48.8269211,2.3322906
458,Assanabel,lebanese,0,0,48.827477,2.3356659
459,Au phare de Sèvres,na,0,0,48.8275107,2.200232
460,Sun Café,na,0,0,49.0491733,2.0962825
461,Le Rail,na,0,0,49.0478906,2.0959624
462,Kim San,na,0,0,49.0465479,2.0994529
463,Les Quais,na,0,0,49.0482176,2.1004801
464,La Terrazza,pizza,0,0,49.0493662,2.093245
465,Aux Délices du Kashmir,na,0,0,49.0497363,2.0924851
466,L'Ardoise,na,0,0,49.0497658,2.0904776
467,Le Palais d'Asie,asian,0,0,49.0497726,2.0905801
468,Le Palais Thaï,na,0,0,49.0487503,2.101485
469,Le Mediterranée,na,0,0,49.0488886,2.1017314
470,Le Bruny's,na,0,0,49.0522104,2.1009401
471,L'Audience,na,0,0,49.0503298,2.1004504
472,Le Maroc,na,0,0,49.0492195,2.0976109
473,Pop Sushi,japanese,0,0,49.0491952,2.0977775
474,,na,0,0,48.6597756,2.7729425
475,Le Jardin d'Eden,na,0,0,49.0494179,2.0993989
476,Mer et Saveur,na,0,0,49.0519188,2.0967863
477,L'Europe à Table,na,0,0,49.0515327,2.0989989
478,Hippopotamus,burger;steak_house,0,0,49.0314863,2.0609327
479,Ristorante Del Arte,italian,0,0,48.9493994,2.2063547
480,Les Galopins,na,0,0,48.8338379,2.2396917
